feature,importance
worst radius,0.733547574075133
worst concave points,0.12202752123878562
texture error,0.04578469013555809
worst texture,0.0323192601862405
worst concavity,0.017161164925591495
mean concave points,0.013327287654980625
area error,0.012703663948611903
mean texture,0.011846477915538337
worst symmetry,0.01128235991956032
mean radius,0.0
fractal dimension error,0.0
worst area,0.0
worst perimeter,0.0
concave points error,0.0
worst smoothness,0.0
worst compactness,0.0
symmetry error,0.0
compactness error,0.0
concavity error,0.0
smoothness error,0.0
perimeter error,0.0
radius error,0.0
mean fractal dimension,0.0
mean symmetry,0.0
mean concavity,0.0
mean compactness,0.0
mean smoothness,0.0
mean area,0.0
mean perimeter,0.0
worst fractal dimension,0.0
